solve_id,date,total_time,scramble,solution,turns,tps,move_times,analysis_type,device_name,session_name,raw_solution,raw_timestamps,gyro_data,cross_face,cross_moves,cross_time,cross_execution_time,f2l_pair1_moves,f2l_pair1_time,f2l_pair1_recognition_time,f2l_pair1_execution_time,f2l_pair2_moves,f2l_pair2_time,f2l_pair2_recognition_time,f2l_pair2_execution_time,f2l_pair3_moves,f2l_pair3_time,f2l_pair3_recognition_time,f2l_pair3_execution_time,f2l_pair4_moves,f2l_pair4_time,f2l_pair4_recognition_time,f2l_pair4_execution_time,oll_case_id,oll_moves,oll_time,oll_recognition_time,oll_execution_time,pll_case_name,pll_moves,pll_time,pll_recognition_time,pll_execution_time
290765,2026-03-18T16:32:01.074Z,25631,F2 U R2 U R2 U2 B2 R2 D' R2 U B D2 F U R' D2 F R2 B R2 U2,x' y2 L' B' L' B x D B2' z y B L B' F2 R' F2 R F2' L F L' F2 R' F' R z F L F L' F' L F2' L' D F' D' x U2 B' U2 B U2' B' U B L F U z y L' F' U' D F R F' R' D' y y' F' F L F L' F' L' U L2 F' L' F' L F L' U' R2 L2' B' x2 R L' M U' R L' B2' x2 R2 L2' B2' R L',96,3.7454644766103544,"0 0 0 241 371 1021 1246 1321 2555 2811 2811 3968 4803 5221 6508 6786 7173 7325 7582 7583 7920 7999 9721 10326 10804 10804 11211 11469 11767 11941 12072 12370 12391 12670 12843 12975 13141 13387 13911 14702 15669 15748 15802 16024 16209 16224 16346 17041 17341 17413 17450 17450 17525 17735 18069 18241 18603 18623 18790 19026 19151 19193 19428 19803 20467 20492 20609 20885 20903 21075 21096 21339 21495 21526 21617 21670 21843 21921 22321 23642 23642 23862 24028 24069 24102 24167 24385 24502 24502 24861 25103 25151 25177 25400 25467 25631",CFOP,GANi3Qam,Default Session,,,,U,"x' y2 L' B' L' B x D B2' z y B L B'",5221,5221,"F2 R' F2 R F2' L F L'",2778,1287,1491,"F2 R' F' R",2805,1722,1083,"z F L F L' F' L F2' L' D F' D' x",2583,-117,2700,"U2 B' U2 B U2' B' U B",2959,1315,1644,1,"L F U z y L' F' U' D F R F' R' D' y y'",2805,418,2387,Ab,"F' F L F L' F' L' U L2 F' L' F' L F L' U' R2 L2' B' x2 R L' M U' R L' B2' x2 R2 L2' B2' R L'",6480,652,5828
290750,2026-03-18T16:29:57.602Z,25118,L2 D' B2 U B2 L2 D2 B2 U L2 B2 F L D2 B' R B' L' D F2 D' R2,x' R' z' F' R' x' y' D' F x F' l R U' R U2' R' y L U L' U R' U R U2 B d L' U2' R' U2' R U' y L' U L U d R' U R U' R' U' R U' F R U R' U' F' U r U R' U' L' U R U' x' R U R' U' R' F R2 U' R' U' R U R' F' U2' U' M2' U' M2' U' M' U2' M2' U2' M' U',90,3.583087825463811,"0 0 458 1026 1209 1568 1568 2494 2713 2848 3288 3807 3847 4525 4712 5108 5181 5525 5590 6607 6706 6849 7007 7088 7531 7673 8085 8202 8496 8987 9216 9528 9594 9931 10309 10414 10831 10872 11176 11367 11550 11735 11804 11986 12112 12281 12349 13597 13744 14079 14104 14230 14355 14554 15212 15514 15540 15699 15827 16001 16075 16299 16449 17305 17916 18065 18166 18304 18398 18549 18729 18892 18981 19042 19108 19367 19401 19610 20705 21632 22227 22415 23310 23360 23618 23807 24216 24368 24692 25118",CFOP,GANi3Qam,Default Session,,,,U,"x' R' z' F' R' x' y' D' F x F' l R",3847,3847,"U' R U2' R' y L U L'",2859,678,2181,"U R' U R U2 B d L'",1790,143,1647,"U2' R' U2' R U' y L' U L",2376,491,1885,"U d R' U R U' R' U' R",1477,304,1173,38,"U' F R U R' U' F' U r U R' U' L' U R U'",4100,1248,2852,Aa,"x' R U R' U' R' F R2 U' R' U' R U R' F' U2' U' M2' U' M2' U' M' U2' M2' U2' M' U'",8669,856,7813
290745,2026-03-18T16:29:16.807Z,20367,L2 B2 L2 U2 F2 D' R2 U' L2 D2 L2 F' U2 B' D' B2 L' F2 D2 F' U2 F' U2,z' y' F' R F' U M U L' U R R' U R U' R' U R U' R' U' L U' L' U' R U R' U y' R' U' R U' d R' U R U' R' U' R F' r U r' U U2' x D B L B' L' D' x' F R' F' r U R U' L' x' U' R' U2' R U2 R' F x R B R' B' R' U' R2,80,3.9279226199243875,"0 0 0 172 718 899 1503 2335 2335 2816 3172 3472 3510 3611 3731 3787 3908 4035 4199 4322 4552 4852 5334 5632 5817 5818 5900 6123 6241 7549 7973 8053 8054 8755 8887 9052 9189 9417 9599 9672 9717 9757 10373 10567 10672 11095 12053 13089 13265 13372 13797 13853 14005 14272 14311 14394 15653 15733 15899 16072 16156 16317 16498 16622 18004 18066 18134 18315 18533 18787 18954 19133 19160 19260 19552 19587 19682 20004 20158 20367",CFOP,GANi3Qam,Default Session,,,,U,"z' y' F' R F' U M U L'",2335,2335,"U R R' U R U' R' U R U' R' U' L U' L'",3297,481,2816,"U' R U R' U y' R' U' R",2422,185,2237,"U' d R' U R U' R' U' R",1703,701,1002,"F' r U r'",1159,437,722,29,"U U2' x D B L B' L' D' x' F R' F' r U R U' L'",5706,1137,4569,Rb,"x' U' R' U2' R U2 R' F x R B R' B' R' U' R2",3745,1382,2363
290737,2026-03-18T16:28:12.987Z,26900,R2 B2 D2 R2 B2 U L2 D' R2 B2 F R' B' U' L2 F' U F' R D2 R,z2 y' D L D2' U' r U' x' D U' R U2' R' U L U L' U B U B' d' R U2' R' U' L U' L' R U' R' U R U R' U L D L' U L D' L' U' L' U L U2' B x y R B R' B' D' z' y' R U R' U R U2' R' U' R U R' U' R' F R2 U' R' U' R U R' F' U U' r U' L D2' L' U L D2' L2' B2',94,3.4944237918215615,"0 0 0 182 602 1703 2117 2523 2929 3006 3718 3742 3924 4141 4392 4685 4974 5104 5822 7095 7254 7378 7685 7735 8269 8310 8535 8719 9121 9143 9483 9562 9737 9805 9917 10145 10281 11334 11827 12300 12318 12373 12490 12602 12784 12974 13200 13200 13271 14903 15235 15463 15463 15534 15719 15955 16026 16057 16429 16429 16800 16975 17155 17230 17404 17525 17704 20155 20237 20347 20468 20593 20713 20714 20883 20943 21070 21129 21196 21305 21553 21611 23102 23754 24422 25384 25503 25749 25916 26038 26283 26523 26726 26900",CFOP,GANi3Qam,Default Session,,,,U,"z2 y' D L D2' U' r U' x' D",3006,3006,"U' R U2' R' U L U L'",2098,712,1386,"U B U B' d' R U2' R' U' L U' L'",4039,718,3321,"R U' R' U R U R'",1138,340,798,"U L D L' U L D' L' U' L' U L",2990,1053,1937,34,"U2' B x y R B R' B' D' z' y' R U R' U R U2' R'",4433,1632,2801,T,"U' R U R' U' R' F R2 U' R' U' R U R' F' U U' r U' L D2' L' U L D2' L2' B2'",9196,2451,6745
290549,2026-03-18T15:26:00.968Z,34118,B2 L2 D' R2 U' B2 R2 U2 B2 D2 F2 R' D' F2 R2 B U2 L2 F' R U',y' z2' D R2 U R' D' U' F D' F' L U L' U2 L U L' U' R2 U R U' R' U2 R U' R' U U' M U M2' R' U R U R U R' U R U2' R' U' F R U' R' U' R U R' F' R U R' U' R' F R F' M' U U' M2' U M' U M' M' U2 M U2' M2' U M' U2' M2' U2' M',81,2.374113371240987,"0 0 0 330 540 783 1022 1651 5580 6005 6392 10413 10590 10712 11041 11190 11313 11430 11850 12151 13590 13772 13864 13982 14312 14373 14431 14522 15691 16200 16779 17341 18123 18390 18514 18662 19350 20763 20914 21006 21090 21150 21272 21331 22651 23281 23430 23522 23580 23640 23764 24063 24183 24362 24390 24481 24573 24690 24840 24900 25080 25172 25655 26433 27812 28350 28621 28801 28923 29130 31322 31591 31865 32223 32587 33031 33277 33601 33755 34022 34118",Roux,GAN12uiM_F908,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290546,2026-03-18T15:24:37.205Z,21393,F2 U' B2 L2 B2 L2 U2 L2 F2 U B2 F' U F2 L B R' F2 L' D2 R',z2 y' D' U' L D' x R U' x' D' U' d' R U R' U' R U2' R' U' L U' L' U' R U2' R' d' L U' L' U L' U L U2' R U' R' U F L' U' L U L F' L' F U R U' R2' F' R U R U' R' U2' R2' D' R2 U R2' D U' R D' R D R' U R U' R U2',78,3.646052447062123,"0 0 0 8 242 600 749 1437 1767 2557 2608 3208 5040 5099 5218 5277 5369 5492 5700 5817 6058 6208 6358 6477 7228 7351 7560 7651 7978 8400 8610 8850 9417 9750 9867 10142 10468 10617 10799 10887 13528 14008 14134 14341 14550 14609 14732 14792 15117 16350 16557 16679 16737 16917 17040 17217 17279 17400 17608 17877 18601 19141 19287 19467 19587 19708 19832 19859 20278 20367 20494 20608 20758 20817 20909 21000 21177 21393",CFOP,GAN12uiM_F908,Default Session,,,,U,"z2 y' D' U' L D' x R U' x' D'",2608,2608,"U' d' R U R' U' R U2' R' U' L U' L'",3869,600,3269,"U' R U2' R' d' L U' L'",2373,751,1622,"U L' U L U2' R U' R'",2037,567,1470,"U F L' U' L U L F' L'",4230,2641,1589,12,"F U R U' R2' F' R U R U' R'",2760,1233,1527,V,"U2' R2' D' R2 U R2' D U' R D' R D R' U R U' R U2'",3516,724,2792
290545,2026-03-18T15:23:48.896Z,14454,L2 B' R2 L' D2 B F' D U' L U' B' U D' R2 D B2 F2 R D',z2 y' D R D R' U2' R' F D R U R' L U L' U2' U' B U B' U2 F' U' F U L' U' L U3 R' U' R U R' U' R U B L U L' U' B' U' U U B' U' B L2 D F' U F U' F D' L2' U2,60,4.151100041511,"0 0 0 144 354 475 868 1044 1136 1375 3150 3266 3326 3684 3834 3867 4645 5366 5516 5635 5726 6061 6175 6297 6384 7108 7525 7618 7676 8907 9000 9084 9175 9296 9326 9444 9538 9954 10259 10437 10558 10617 10709 10826 11457 11817 12354 12654 12809 12954 13225 13375 13554 13616 13767 13825 13944 14036 14249 14454",CFOP,GAN12uiM_F908,Daily Scramble,,,,U,"z2 y' D R D R' U2' R' F D",1375,1375,"R U R' L U L'",2492,1775,717,"U2' U' B U B' U2 F' U' F",2517,778,1739,"U L' U' L",1292,724,568,"U3 R' U' R U R' U' R",1862,1231,631,44,"U B L U L' U' B'",1288,416,872,Gb,"U' U U B' U' B L2 D F' U F U' F D' L2' U2",3628,631,2997
290543,2026-03-18T15:23:14.191Z,15783,D B2 D2 R2 U R2 F2 D' B2 U' B2 F' U R B2 D L U B U2 B' U2,x y' F' U L' F U' L z' d U R' U' R L U L' U y L U' L' U' d' R U' R' U' R U' R' U R U' R' U' U L F l' U R U' R' U R U2' L' B' x' L2 B2' x L' U' L D2' L' U L' B2',61,3.8649179496927073,"0 0 0 149 536 1886 2277 2578 2597 3986 4084 4228 4382 4468 5486 5610 5728 6001 6087 6928 6991 7140 8036 8068 8459 8550 8636 8699 8786 8966 9086 9748 9836 9899 9958 10827 11277 11607 11760 11850 12116 12298 12357 12508 12599 12718 12899 12957 13590 13679 14549 14700 14820 14849 14967 15086 15267 15416 15539 15627 15783",CFOP,GAN12uiM_F908,Default Session,,,,U,"x y' F' U L' F U' L z'",2578,2597,"",0,0,0,"d U R' U' R",1890,1408,482,"L U L' U y L U' L'",2672,1018,1654,"U' d' R U' R' U' R U' R' U R U' R'",2818,896,1922,53,"U' U L F l' U R U' R' U R U2' L'",2999,869,2130,Aa,"B' x' L2 B2' x L' U' L D2' L' U L' B2'",2826,633,2193
290542,2026-03-18T15:22:43.831Z,20367,L2 D B2 D F2 U2 R2 D' R2 D R2 B' U2 R2 U2 R2 F' D B' L' B R2,z2 y' L' D L2' R2' D2 F2 U' L U' U L' U' L' U' L d' R' U' R L L' d' L U L' d R U R' U L U L' U R U2' R' U' R U R' B U z U R' U' B' R' F D z' U R' U' F' U2' R U R' F' R U R' U' R' F R2 U' R' U',73,3.584229390681003,"0 0 0 117 327 1859 2157 2849 3987 4169 4529 4951 5128 6750 6899 7019 7137 7440 7708 7827 7859 10049 10624 10949 11218 11277 11337 12179 12417 12538 12658 12899 13017 13108 13167 13557 14308 14458 14550 14757 14877 14937 15027 16049 16318 16356 16409 16500 16633 16771 16978 17157 17369 17401 17490 17549 17638 17759 18537 18600 18749 18841 18990 19050 19139 19227 19287 19384 19470 19587 19650 19977 20367",CFOP,GAN12uiM_F908,Default Session,,,,U,"z2 y' L' D L2' R2' D2 F2",2849,2849,"U' L U' U L' U' L' U' L d' R' U' R",5010,1138,3872,"L L' d' L U L'",3478,2190,1288,"d R U R' U L U L'",1830,842,988,"U R U2' R' U' R U R'",1860,390,1470,2,"B U z U R' U' B' R' F D z' U R' U' F'",2732,1022,1710,Jb,"U2' R U R' F' R U R' U' R' F R2 U' R' U'",2608,778,1830
290540,2026-03-18T15:22:05.436Z,22018,U' L2 D2 F2 D R2 U F2 L2 B2 L' F2 D' R' U2 F2 D' F' U2 B' D2,z2 y D' U2 L F' D' F' x F x' x x' M2' U2' M2' U L' U' L d R' U R d L' U' L U2' R U R' U' d' L U L' U L U' L' U' R U' U R' U2' R U R' U R U R' U R U2' R' U' U R B' R' F l U R' D' R U R' D R U' R' D',76,3.4517213189208826,"0 0 0 419 691 870 1618 1828 1890 2459 2551 4650 5790 6274 6450 6630 7532 7738 7949 8218 8640 8851 9208 9328 9958 10200 10349 10438 10739 10828 10950 11008 11550 12450 12749 12842 12960 13108 13229 13320 13441 14129 14339 14434 15030 15750 16079 16168 16318 16412 17249 17368 17578 17700 17759 17851 17969 18028 18692 19918 20039 20129 20218 20399 20612 20669 20759 20878 20999 21088 21178 21238 21628 21779 21905 22018",CFOP,GAN12uiM_F908,Default Session,,,,U,"z2 y D' U2 L F' D' F' x F x' x x' M2' U2' M2'",6629,6630,"U L' U' L d R' U R",2699,903,1796,"d L' U' L U2' R U R'",1680,630,1050,"U' d' L U L' U L U' L'",2433,542,1891,"U' R U' U R' U2' R U R'",2971,688,2283,26,"U R U R' U R U2' R'",1616,837,779,E,"U' U R B' R' F l U R' D' R U R' D R U' R' D'",3990,664,3326
